city,month,count,k,c,mean_ws,std_ws,status,file,location_id
Tabriz,5,15624,1.649161,3.700401,3.309078,2.087609,OK,38.0667_46.3000.csv,single
Tabriz,6,15120,1.918353,4.506910,3.998089,2.194467,OK,38.0667_46.3000.csv,single
Tabriz,7,15624,2.091116,5.370089,4.756398,2.411408,OK,38.0667_46.3000.csv,single
Tabriz,8,15624,1.911886,5.136281,4.556863,2.508955,OK,38.0667_46.3000.csv,single
Tabriz,9,15120,1.666092,4.137502,3.697018,2.310516,OK,38.0667_46.3000.csv,single
Tabriz,10,15624,1.471462,3.138227,2.839878,1.989915,OK,38.0667_46.3000.csv,single
Tabriz,11,15120,1.462285,2.552564,2.311805,1.629251,OK,38.0667_46.3000.csv,single
Tabriz,12,15624,1.363660,2.125284,1.945431,1.462099,OK,38.0667_46.3000.csv,single
Tehran,1,15624,1.786862,2.036703,1.811871,1.061694,OK,35.6944_51.4215.csv,single
Tehran,2,14256,1.848117,2.354541,2.091419,1.188048,OK,35.6944_51.4215.csv,single
Tehran,3,15624,1.973706,2.837892,2.515680,1.345105,OK,35.6944_51.4215.csv,single
Tehran,4,15120,2.106716,2.909413,2.576796,1.297479,OK,35.6944_51.4215.csv,single
Tehran,5,15624,2.068003,3.043640,2.696080,1.380925,OK,35.6944_51.4215.csv,single
Tehran,6,15120,2.227645,2.886548,2.556537,1.222790,OK,35.6944_51.4215.csv,single
Tehran,7,15624,2.298264,2.858651,2.532499,1.176979,OK,35.6944_51.4215.csv,single
Tehran,8,15624,2.517175,2.604267,2.311068,0.987751,OK,35.6944_51.4215.csv,single
Tehran,9,15120,2.412057,2.462578,2.183238,0.970498,OK,35.6944_51.4215.csv,single
Tehran,10,15624,2.016014,2.271473,2.012764,1.055388,OK,35.6944_51.4215.csv,single
Tehran,11,15120,1.907728,1.928108,1.710714,0.943789,OK,35.6944_51.4215.csv,single
Tehran,12,15624,1.805636,1.780147,1.582824,0.918597,OK,35.6944_51.4215.csv,single
Yazd,1,15624,1.573153,2.508079,2.252322,1.484027,OK,31.8974_54.3569.csv,single
Yazd,2,14256,1.640506,2.823288,2.525795,1.601195,OK,31.8974_54.3569.csv,single
Yazd,3,15624,1.640528,3.075082,2.751054,1.743973,OK,31.8974_54.3569.csv,single
Yazd,4,15120,1.673105,3.008251,2.687143,1.672893,OK,31.8974_54.3569.csv,single
Yazd,5,15624,1.740079,2.969074,2.645195,1.588325,OK,31.8974_54.3569.csv,single
Yazd,6,15120,1.855984,3.174763,2.819507,1.595392,OK,31.8974_54.3569.csv,single
Yazd,7,15624,1.784006,3.281909,2.919858,1.713458,OK,31.8974_54.3569.csv,single
Yazd,8,15624,1.638581,3.081462,2.757030,1.749674,OK,31.8974_54.3569.csv,single
