city,month,count,k,c,mean_ws,std_ws,status,file,location_id
Kerman,7,8184,1.7040510127531885,3.266995950433935,2.914489247311828,1.7600739136412304,OK,30.2500_56.7500.csv,single
Kerman,8,8184,1.647786946736684,3.0679488706434697,2.743691348973607,1.7083394872031488,OK,30.2500_56.7500.csv,single
Kerman,9,7920,1.7471867966991748,2.630914903478118,2.343358585858586,1.383625529619538,OK,30.2500_56.7500.csv,single
Kerman,10,8184,1.8259564891222808,2.6062241278421108,2.316149804496579,1.314759992731399,OK,30.2500_56.7500.csv,single
Kerman,11,7920,1.4077269317329333,2.356267055996408,2.1457196969696968,1.5453768331624558,OK,30.2500_56.7500.csv,single
Kerman,12,8161,1.3158289572393098,2.2231148313553555,2.0483102560960664,1.5704136459594438,OK,30.2500_56.7500.csv,single
Zabol,1,8184,1.2708177044261064,4.964137646253913,4.606573802541544,3.652522000698974,OK,31.0000_61.5000.csv,single
Zabol,2,7464,1.4846211552888222,6.070808261412108,5.48738344051447,3.759849374454263,OK,31.0000_61.5000.csv,single
Zabol,3,8184,1.5465116279069768,6.34270590618321,5.705956744868035,3.767360773659841,OK,31.0000_61.5000.csv,single
Zabol,4,7920,1.630907726931733,7.116532153461737,6.369755050505051,4.007476198128976,OK,31.0000_61.5000.csv,single
Zabol,5,8184,1.9122280570142536,8.846864484117523,7.848817204301074,4.272858585029692,OK,31.0000_61.5000.csv,single
Zabol,6,7920,2.874343585896474,12.467926615243158,11.113488636363636,4.19649892725983,OK,31.0000_61.5000.csv,single
Zabol,7,8184,3.81582895723931,14.332818550153949,12.956820625610948,3.792684895421353,OK,31.0000_61.5000.csv,single
Zabol,8,8184,4.27344336084021,14.845136472472106,13.506797409579669,3.568380012141072,OK,31.0000_61.5000.csv,single
Zabol,9,7920,2.9118529632408103,12.27732939651332,10.949415404040405,4.086524060617705,OK,31.0000_61.5000.csv,single
Zabol,10,8184,1.7340585146286571,8.434429957881827,7.51593963831867,4.468494509780675,OK,31.0000_61.5000.csv,single
Zabol,11,7920,1.3964741185296323,5.792169489579605,5.281218434343434,3.828949578325145,OK,31.0000_61.5000.csv,single
Zabol,12,8161,1.2970742685671417,4.907863075867807,4.534854797206225,3.52577455773583,OK,31.0000_61.5000.csv,single
Yazd,1,8184,1.36271567891973,2.502421669384985,2.290926197458455,1.699792885839475,OK,32.2500_54.0000.csv,single
Yazd,2,7464,1.4471117779444862,2.981846980095071,2.704445337620579,1.897767001102269,OK,32.2500_54.0000.csv,single
Yazd,3,8184,1.4846211552888222,3.515382711305743,3.177542766373412,2.1778924907942807,OK,32.2500_54.0000.csv,single
Yazd,4,7920,1.6252813203300824,3.328681845894074,2.9802588383838384,1.880835998891656,OK,32.2500_54.0000.csv,single
Yazd,5,8184,1.7303075768942235,3.126654633237316,2.7865395894428158,1.6597131257918714,OK,32.2500_54.0000.csv,single
Yazd,6,7920,1.9516129032258065,3.3562191819869973,2.9759305555555557,1.590223721367911,OK,32.2500_54.0000.csv,single
Yazd,7,8184,1.994748687171793,3.5363666801757216,3.134176441837732,1.6421558755166414,OK,32.2500_54.0000.csv,single
Yazd,8,8184,1.940360090022505,3.1158759724413927,2.763225806451613,1.483997940913719,OK,32.2500_54.0000.csv,single
Yazd,9,7920,1.8953488372093024,2.67018386861057,2.369611111111111,1.3003987169755993,OK,32.2500_54.0000.csv,single
Yazd,10,8184,1.7865716429107277,2.464600201249872,2.1925513196480937,1.26915098277935,OK,32.2500_54.0000.csv,single
Yazd,11,7920,1.6702925731432858,2.2755372947671018,2.032895202020202,1.2512628152327347,OK,32.2500_54.0000.csv,single
Yazd,12,8161,1.6609152288072018,2.260905006904107,2.020686190417841,1.2498947679888062,OK,32.2500_54.0000.csv,single
Khaf,1,8184,1.600900225056264,4.083802192695041,3.661242668621701,2.342884768506933,OK,34.5000_60.2500.csv,single
Khaf,2,7464,1.640285071267817,4.628190304007313,4.140557341907824,2.5899994718204558,OK,34.5000_60.2500.csv,single
Khaf,3,8184,1.754688672168042,5.175859085785218,4.609004154447702,2.7117454319634247,OK,34.5000_60.2500.csv,single
Khaf,4,7920,1.8090772693173292,5.638868704616373,5.013369949494949,2.8690920070773056,OK,34.5000_60.2500.csv,single
Khaf,5,8184,1.8784696174043511,6.486299878357121,5.757911779081134,3.184057550853098,OK,34.5000_60.2500.csv,single
Khaf,6,7920,2.756189047261816,9.15081239138044,8.143575757575757,3.193562594109982,OK,34.5000_60.2500.csv,single
Khaf,7,8184,4.040885221305326,11.357424538731298,10.300361681329424,2.8637524218148176,OK,34.5000_60.2500.csv,single
Khaf,8,8184,4.067141785446362,10.3963824953776,9.432253176930596,2.607036114655557,OK,34.5000_60.2500.csv,single
Khaf,9,7920,2.354838709677419,7.813586893022725,6.924368686868687,3.125913805394625,OK,34.5000_60.2500.csv,single
Khaf,10,8184,1.7340585146286571,5.000007585816793,4.455518084066471,2.6493035707819663,OK,34.5000_60.2500.csv,single
Khaf,11,7920,1.6365341335333834,3.890278666009628,3.481049242424242,2.181026616818337,OK,34.5000_60.2500.csv,single
Khaf,12,8161,1.67966991747937,3.595360483393726,3.2106592329371404,1.9654988843492849,OK,34.5000_60.2500.csv,single
Tehran,1,8184,1.4358589647411852,2.450160021251856,2.224672531769306,1.5729144434182416,OK,35.5000_51.5000.csv,single
Tehran,2,7464,1.6252813203300824,2.896438455331318,2.5932596463022515,1.6364149918547126,OK,35.5000_51.5000.csv,single
Tehran,3,8184,1.9816204051012756,3.8509389720944074,3.4134176441837734,1.798713558127893,OK,35.5000_51.5000.csv,single
Tehran,4,7920,2.022880720180045,3.8084899416002695,3.374540404040404,1.746206037551222,OK,35.5000_51.5000.csv,single
Tehran,5,8184,2.097899474868717,4.002389058254908,3.5449144672531765,1.7756930491311345,OK,35.5000_51.5000.csv,single
Tehran,6,7920,2.330457614403601,4.062366890462491,3.599506313131313,1.640455477826107,OK,35.5000_51.5000.csv,single
Tehran,7,8184,2.442985746436609,4.136996722596502,3.6686681329423263,1.6023236625967907,OK,35.5000_51.5000.csv,single
Tehran,8,8184,2.647411852963241,3.76890007011129,3.349441593352884,1.3617823694743847,OK,35.5000_51.5000.csv,single
Tehran,9,7920,2.476744186046512,3.345586567792244,2.9677550505050503,1.2809681453563164,OK,35.5000_51.5000.csv,single
Tehran,10,8184,1.8540885221305323,2.829840865979741,2.513282013685239,1.4061713826430768,OK,35.5000_51.5000.csv,single
Tehran,11,7920,1.593398349587397,2.256796057069193,2.024162878787879,1.300811079505595,OK,35.5000_51.5000.csv,single
Tehran,12,8161,1.4021005251312828,2.03707320527141,1.8562002205612056,1.3415636211573032,OK,35.5000_51.5000.csv,single
Qazvin,1,8184,1.4339834958739686,3.4910734770803336,3.1703861192570875,2.242896965855894,OK,36.0000_50.0000.csv,single
Qazvin,2,7464,1.495873968492123,3.969157310909375,3.5843408360128617,2.440180357362741,OK,36.0000_50.0000.csv,single
Qazvin,3,8184,1.6515378844711175,4.445363282801996,3.9748044965786895,2.4711040765426144,OK,36.0000_50.0000.csv,single
Qazvin,4,7920,1.662790697674419,4.346512530945011,3.884363636363637,2.3986253901314,OK,36.0000_50.0000.csv,single
Qazvin,5,8184,1.7940735183795948,4.459948143299862,3.966813294232649,2.2872910165504674,OK,36.0000_50.0000.csv,single
Qazvin,6,7920,2.193548387096774,5.430887210889209,4.8096881313131306,2.3133644326102107,OK,36.0000_50.0000.csv,single
Qazvin,7,8184,2.328582145536384,5.857268636410751,5.189842375366569,2.3661842125687063,OK,36.0000_50.0000.csv,single
Qazvin,8,8184,2.101650412603151,5.182019503626255,4.589657869012707,2.2938701114570024,OK,36.0000_50.0000.csv,single
Qazvin,9,7920,1.9909977494373596,4.818123387194381,4.270313131313131,2.240721741177002,OK,36.0000_50.0000.csv,single
